name,version,type,purl,licenses
"combined-stream","1.0.8","library","pkg:npm/combined-stream@1.0.8","MIT"
"concat-map","0.0.1","library","pkg:npm/concat-map@0.0.1","MIT"
"concat-map","0.0.1","library","pkg:npm/concat-map@0.0.1","MIT"
"console-control-strings","1.1.0","library","pkg:npm/console-control-strings@1.1.0","ISC"
"console-log-level","1.4.1","library","pkg:npm/console-log-level@1.4.1","MIT"
"debug","4.3.4","library","pkg:npm/debug@4.3.4","MIT"
"delay","5.0.0","library","pkg:npm/delay@5.0.0","MIT"
"delayed-stream","1.0.0","library","pkg:npm/delayed-stream@1.0.0","MIT"
"delegates","1.0.0","library","pkg:npm/delegates@1.0.0","MIT"
"detect-libc","2.0.1","library","pkg:npm/detect-libc@2.0.1","Apache-2.0"
"dot-prop","6.0.1","library","pkg:npm/dot-prop@6.0.1","MIT"
"duplexify","4.1.2","library","pkg:npm/duplexify@4.1.2","MIT"
"ecdsa-sig-formatter","1.0.11","library","pkg:npm/ecdsa-sig-formatter@1.0.11","Apache-2.0"
"ee-first","1.1.1","library","pkg:npm/ee-first@1.1.1","MIT"
"emoji-regex","8.0.0","library","pkg:npm/emoji-regex@8.0.0","MIT"
"end-of-stream","1.4.4","library","pkg:npm/end-of-stream@1.4.4","MIT"
"entities","2.1.0","library","pkg:npm/entities@2.1.0","BSD-2-Clause"
"escalade","3.1.1","library","pkg:npm/escalade@3.1.1","MIT"
"escape-string-regexp","2.0.0","library","pkg:npm/escape-string-regexp@2.0.0","MIT"
"escodegen","2.1.0","library","pkg:npm/escodegen@2.1.0","BSD-2-Clause"
"eslint-visitor-keys","1.3.0","library","pkg:npm/eslint-visitor-keys@1.3.0","Apache-2.0"
"espree","7.3.1","library","pkg:npm/espree@7.3.1","BSD-2-Clause"
"esprima","4.0.1","library","pkg:npm/esprima@4.0.1","BSD-2-Clause"
"estraverse","5.3.0","library","pkg:npm/estraverse@5.3.0","BSD-2-Clause"
"esutils","2.0.3","library","pkg:npm/esutils@2.0.3","BSD-2-Clause"
"event-target-shim","5.0.1","library","pkg:npm/event-target-shim@5.0.1","MIT"
"eventid","2.0.1","library","pkg:npm/eventid@2.0.1","Apache-2.0"
"extend","3.0.2","library","pkg:npm/extend@3.0.2","MIT"
"false_main","UNKNOWN","library","pkg:npm/false_main",""
"fast-redact","3.1.2","library","pkg:npm/fast-redact@3.1.2","MIT"
"file-uri-to-path","1.0.0","library","pkg:npm/file-uri-to-path@1.0.0","MIT"
"findit2","2.2.3","library","pkg:npm/findit2@2.2.3","MIT"
"form-data","2.5.1","library","pkg:npm/form-data@2.5.1","MIT"
"fs-minipass","2.1.0","library","pkg:npm/fs-minipass@2.1.0","ISC"
"fs.realpath","1.0.0","library","pkg:npm/fs.realpath@1.0.0","ISC"
